Topic, Top Terms
Topic 00, technique decoder efficient decoding wavelet high-speed novel real-time transform consumer detection high-performance code path signal parallel turbo vlsi cell services
Topic 01, user smart authentication remote personalized cards content efficient sharing recommendation program semantic collaborative security recommender schemes interfaces battery networking electronic
Topic 02, decoder efficient h.264/avc encoder hdtv memory broadcasting data stream single processing optimization software mpeg-2 mpeg-4 advanced applications processor hardware avs
Topic 03, channels dtv transmission channel over receivers fading atsc robust multipath equalization recovery delay timing dvb-t structure terrestrial vsb tds-ofdm television
Topic 04, display displays plasma driver lcd driving panel high quality television enhancement power liquid crystal new applications backlight low data circuit
Topic 05, management energy power smart intelligent efficient service sensor services scheduling dynamic mobility controller integrated zigbee lighting real-time gateway remote device
Topic 06, noise filter reduction personal detection recorder deblocking hardware scene from h.264/avc extraction change features filtering statistical false contour impulse music
Topic 07, generation applications consumer camera its application software extension depth processor evaluation next unit format model synthesis still speech module multi-view
Topic 08, low frequency audio complexity synchronization amplifier mode performance applications cmos power fft detection receivers detector synthesizer symbol efficiency hierarchical algorithms
Topic 09, new communication signals novel sequence optical reduction modulation stereoscopic papr diversity sequences identification advanced schemes partial communications techniques two device
Topic 10, flash consumer storage memory electronics layer nand efficient performance management translation multimedia buffer file techniques flash-based technique improving policy portable
Topic 11, images error compressed jpeg2000 domain codes algorithms detection quality segmentation real-time analysis visual transcoding from assessment high-quality coded decoding efficient
Topic 12, streaming over ieee service real-time multimedia qos packet scalable support data adaptation wlan scheduling channel allocation resource delivery model vod
Topic 13, frequency analysis offset synchronization reception robust receiver noise performance phase channel dtv carrier suppression interference receivers timing dvb-h broadcasting technique
Topic 14, high performance area bluetooth transmission data personal access supporting over multiple time multimedia evaluation strategy communication rate sensor streaming energy-efficient
Topic 15, error h.264/avc intra h.264 concealment mode prediction vector scalable over mpeg-2 transmission efficient decision novel frame protection selection streaming rate
Topic 16, sensor protocol information security novel access mechanism indoor scalable model robot key environment applications data speaker routing conditional localization fusion
Topic 17, media channel iptv box set-top automatic environments navigation players services secure efficient management gateway simple distribution extended buffer selective portable
Topic 18, new audio application processing cameras signal mpeg cmos its decoder full search integrated dsp processor filters techniques baseband streaming dab
Topic 19, multimedia services broadcasting interactive receiver development platform virtual portable data t-dmb audio player embedded dtv hybrid service terrestrial receivers video-on-demand
Topic 20, recognition speech robust embedded stabilization interface face environment acoustic enhancement feature sound classification voice enhanced user environments detection human consumer
Topic 21, power communications communication performance line radio evaluation spectrum indoor cognitive interference applications broadband networking receiver over modem smart from optimal
Topic 22, tracking detection camera real-time robust automatic depth object interface moving surveillance controller applications modeling stereo multiple consumer interaction disparity pattern
Topic 23, frame low rate complexity encoding search bit block h.264 up-conversion efficient transform matching hardware high its vlsi variable power architectures
Topic 24, enhancement histogram contrast dynamic equalization color brightness imaging local compression fuzzy range preserving weighted mapping images compensation tone clustering high
Topic 25, reduction technique power improvement resolution block improved performance analysis compression lcd distortion optimal nonlinear transfer papr combined dual compensation color
Topic 26, display new panel color low-cost plasma images picture driving compression low-power low data visual level gray lossless white without line
Topic 27, optical disc disk recording drive code correction high front-end drives blu-ray equalizer view receiver vibration dc-free lens actuator set improve
Topic 28, automation remote middleware gateway device internet framework integration service monitoring access universal distributed heterogeneous appliances through multimedia solution osgi interoperability
Topic 29, color filter interpolation spatial deinterlacing array correction technique effective temporal new correlation filtering conversion watermarking enhancement efficient practical de-interlacing skin
