Topic,Top Terms
Image Processing,network coding energy sensor optimization efficiency two-way joint relaying harvesting optimal decentralized nodes cooperation source physical transmission coded physical-layer random
Image Processing-1,under constraints network achievable maximization heterogeneous rate fair sensor rates qos signal approach lifetime delay resource variable utility uncertainty medium
Image Processing-2,linear precoding using scheme novel broadcast method algorithm multiuser multiplexing codes iterative generalized search zero-forcing closed-loop two-way receiver dispersion gains
Social Issues and Practice-2,multiple antennas using transmit spectral ds-cdma efficiency turbo equalization two schemes improved filtering cyclic narrowband random asynchronous reception multiple-input code
Social Issues and Practice-3,downlink cdma cellular system scheduling capacity beamforming multi-cell cell hierarchical user femtocell multi-user region adaptive resource coordinated link uplink multicarrier
Social Issues and Practice-4,algorithm approach communication efficient indoor game measurements using localization mitigation sensor modeling new suppression node theoretic placement stochastic identification doppler
Image Processing-3,hoc transmission model protocol mac algorithms mobile multihop new optimal delay communication reception capacity ofdm-based statistical broadcast forward field limits
Image Processing-4,frequency carrier offset synchronization selective domain joint maximum uplink likelihood timing acquisition ofdma offsets signal time multicarrier equalization single jamming
Image Processing-5,scheduling multiuser opportunistic feedback packet throughput delay beamforming downlink joint scheme quantized optimization ofdma lte partial transmission schemes exploiting statistics
Social Issues and Practice-8,relaying spectrum sensing amplify-and-forward selection opportunistic two-way multiple radios asymptotic spread dual-hop characterization efficient propagation relays distributions imperfect fixed multi-relay
Social Issues and Practice-9,space-time codes block coded coding modulation differential orthogonal trellis decoding code space quasi-orthogonal time concatenated convolutional space-frequency symbol continuous full
Social Issues and Practice-10,cdma iterative multiuser equalization cancellation communications application linear turbo blind robust asynchronous successive data optimization signal signals decoding receivers its
Image Processing-6,schemes tradeoff multi-user spatial transmission multiplexing fairness umts multi-channel diversity-multiplexing between system large-scale adaptive multi-rate authentication mechanism csit comparison protocol
Image Processing-7,spectrum ieee sharing 802.11 dynamic sensing primary throughput secondary user qos framework modeling users provisioning mechanism reservation lans multi-channel model
Image Processing-8,capacity cooperation outage user uplink system bounds strategies impact environments scaling coverage opportunistic alignment through ergodic constraints environment rayleigh cellular
Image Processing-9,rate adaptation high link arq mobile applications feedback data using hybrid joint tcp limited markov satellite dynamic practical range technique
Image Processing-10,phase noise transmissions signals modulation time-varying scheme decoding parallel mc-cdma joint decision fusion ici binary unknown application random sensor simplified
Social Issues and Practice-15,spatial cellular system techniques correlation study wcdma factor approach modeling reuse indoor using effect between tdma multipath models layer mobile
Image Processing-11,transmission ofdma resource communications cellular evaluation optimal multi-hop communication decode-and-forward secure architecture relays generalized via adaptive uplink network traffic data
Image Processing-12,training codes pilot optimal sequences using mimo-ofdm spreading coded code papr hybrid cdma noncoherent soft sequence ldpc rateless spatially wideband
Social Issues and Practice-18,scheme resource management traffic cellular admission dynamic multimedia heterogeneous assignment efficient mesh call mobile integrated joint cross-layer network scheduling service
Social Issues and Practice-19,sensor routing energy protocol efficient multi-hop energy-efficient hoc data optimal station large joint mobile base mac packet message cross-layer opportunistic
Social Issues and Practice-20,gaussian ber gain multiple exact array distribution optical pulse nakagami-m prediction approximation errors matrix uwb effect under transactions arbitrary method
Image Processing-13,error probability outage using rate combining presence average bit signals symbol accurate optimum decode-and-forward exact minimum level nakagami-m approximation rayleigh
Social Issues and Practice-22,information rate state imperfect adaptive links cross-layer approach csi capacity multi-user sum layer protocols bound slotted service robust aloha effective
Image Processing-14,antenna feedback selection beamforming transmit adaptive optimization limited joint receive miso arrays receiver methods transmitter transmission decision reduction using quantization
Social Issues and Practice-24,multiuser ds-cdma receivers adaptive multipath receiver fast blind detector algorithms detectors novel compensation approach vector low-complexity v-blast optimal cfo i/q
Social Issues and Practice-25,complexity low mmse frequency-selective beamforming multiple transmitter optimal receivers precoder multi-antenna sum-rate robust maximization single-carrier space-time noncoherent time-varying equalizer weighted
Social Issues and Practice-26,correlated rayleigh combining modulation selection adaptive generalized capacity coded receiver under iterative fast signaling bit-interleaved coding nakagami ricean snr order
Image Processing-15,communications uwb mobile impulse authentication ultra-wideband receivers model multipath code communication smart acquisition transmitted radios underlay combined band synchronization using
