Topic,Top Terms
Image Processing,joint jpeg boundary scalable distortion decoding minimum artifacts arithmetic without iterative between dct-based maximum unwrapping phase contour two-dimensional source-channel effect
Telecommunications,data imagery transforms enhancement multiresolution sar hyperspectral nonlinear phase spatiotemporal algorithms surface recovery through stochastic texture theory noisy approximation synthesis
Social Issues and Practice-1,performance neural filter model-based networks edge demosaicking network automatic study evaluation algorithms target array kalman multiple directional decision recognition contour
Telecommunications-1,watermarking new invariant local modeling framework rotation matching super-resolution shapes authentication geometric affine moments 3-d scale hierarchical information process symmetric
Telecommunications-2,blind deconvolution filtering diffusion methods anisotropic regularization deblurring variational denoising smoothing separation parameter function poisson intensity spectral equation multichannel coefficient
Telecommunications-3,imaging camera three-dimensional technique distributed calibration high-resolution 3-d optimized applications moving targets range modeling piecewise approximation rate-distortion part isar tracking
Social Issues and Practice-5,quantization prediction lossless generalized texture context map modeling large improved blurred retrieval noisy sequences signals correlated indexing optimal subband perceptually
Social Issues and Practice-6,quality assessment rate perceptual natural scene two control metric visual bit constraint videos statistics low no-reference spatio-temporal jpeg2000 tree signals
Social Issues and Practice-7,optimal error scalable recovery protection multiple description compressed allocation thresholding bit illumination embedded systems distributed unequal hybrid rate-distortion under parallel
Social Issues and Practice-8,3-d objects classification representation tracking sequences moving microscopy multiple super-resolution histogram 2-d occlusion grouping exact bayesian structure sparse novel method
Social Issues and Practice-9,random field filtering fields markov spatial dct median unsupervised reduction bayesian domain information principle curves space optimal merging additive compound
Bioinformatics-6,binary fractal morphological representation applications shape decomposition sampling wavelets operators object scheme automatic filtering processing recursive its digital tree value
Telecommunications-4,tracking framework visual retrieval learning object human system particle its general implementation localization content-based saliency features unified online magnetic kernel
Telecommunications-5,classification texture models markov hidden document multiscale stochastic hierarchical decomposition features modeling wavelet-based unsupervised binary text mrf via pattern statistics
Telecommunications-6,flow efficient optical sparse learning search representation computation component retrieval matrix discriminative principal gradient object dynamic probabilistic alignment deformable regularized
Telecommunications-7,noise bayesian removal denoising variational reduction linear sparse digital via impulse weighted representations dictionary blind learning detector corrupted new prior
Social Issues and Practice-12,filters discrete 2-d spatially graph gabor domain morphological representation efficient line subspace projections frequency mathematical morphology transformations connected radon active
Telecommunications-8,recognition face matching registration object local shape linear nonrigid distance discriminant single least simultaneous squares facial super-resolution pattern construction point
Platform-based Development-12,feature extraction automatic selection contrast enhancement matching statistical similarity complex measure new correlation structural modeling index distribution coefficients theory multilevel
Telecommunications-9,local patterns global parametric orientation shape predictive exploiting inpainting structure convergence variance fingerprint enhancement models texture problems quantizer regularization planar
Social Issues and Practice-14,algorithms error tomography efficient halftoning diffusion correction compensation optimization concealment method computational object-based accurate shape hierarchical constancy temporal iterative multiscale
Social Issues and Practice-15,filter design method optimal block interpolation multidimensional linear two-dimensional view 2-d synthesis subband inverse approximation optimization halftoning lattice lifting problem
Social Issues and Practice-16,denoising gaussian order wavelet-based scale models mixture background minimization transformation statistical scheme domain sensing joint characterization nonlinear edge higher alternating
Telecommunications-10,active level total fuzzy variation constrained set depth gradient method contours enhancement evolution edge its clustering via regularized optimization histogram
Telecommunications-11,interpolation methods registration maximum identification frame sequence likelihood correlation method processing blur weighted motion-compensated fusion region-based optimization nonlocal parameters interactive
Telecommunications-12,multiscale filter radar fusion aperture synthetic imaging technique mapping banks nonlinear evaluation digital noise sar processing techniques bilateral directional multiresolution
Social Issues and Practice-19,data optimal hybrid method expansion new tomographic hiding reversible optimized packet embedding efficient frames thresholding lossless halftone via functions edge-preserving
Image Processing-4,transmission over dynamic resolution noisy channels high wireless differential optimized sensor range progressive distortion networks super partial allocation quantized block
Telecommunications-13,quantization processing its new multiresolution applications transforms theory signal entropy class sets filters properties multispectral data integer cameras low digital
