Topic, Top Terms
Topic 00, rayleigh combining correlated probability optimum selection reception rician generalized nakagami-m signals m-ary ber cochannel exact signaling binary unified nakagami bit
Topic 01, coherent acquisition code spectrum spread spread-spectrum receiver rayleigh jamming tracking satellite signals sequence fast presence mobile communications direct-sequence multitone study
Topic 02, noise phase gaussian digital presence distribution nonlinear effects ofdm errors signals density satellite correction analog applications statistics signal characterization loops
Topic 03, space-time coded block differential trellis iterative noncoherent equalization rayleigh orthogonal turbo demodulation psk signals code constellation combined bit-interleaved linear receiver
Topic 04, multiuser multiple access multiple-access feedback detectors decision asynchronous multipath code-division communications receiver detector uwb impact random orthogonal generalized synchronous reception
Topic 05, linear multiuser antenna receivers antennas processing based array transmit ds/cdma signal communications arrays filters mmse suppression multiple blind receive robust
Topic 06, ds-cdma multicarrier system noise cancellation receivers coded optimum multipath receiver spreading successive transmitter correlation asynchronous multiuser impulsive non-gaussian ber mimo-ofdm
Topic 07, reduction joint ofdm optimization power coded source-channel efficient signals protection unequal schemes approach through subcarrier modeling markov variable-length transceiver modulations
Topic 08, frequency radio ofdm offset data mobile digital system carrier selective impulse joint loop signals synchronization techniques low-complexity multiplexing baseband high
Topic 09, relay feedback network distributed cooperative beamforming broadcast limited scheme synchronization source hoc sensor frame based optimal two-way gaussian via algorithms
Topic 10, phase timing signals recovery symbol carrier synchronization keying continuous frequency jitter modulated cpm effect shift blind maximum-likelihood signal digital sequence
Topic 11, system rate throughput ieee product adaptation average delay slow control two-dimensional discrete management constant link flow window optimization modulus service
Topic 12, cognitive spectrum cooperative relaying radio relay sensing imperfect opportunistic information amplify-and-forward tradeoff sharing capacity outage access achievable decode-and-forward cooperation dynamic
Topic 13, power optimal allocation capacity multiuser precoding ofdm multiple rate downlink co-channel optimum signal constraints large framework statistical frequency-selective maximization single
Topic 14, communications equalization spread-spectrum multiple-access blind frequency-selective direct-sequence ofdm time-varying suppression training minimum comments filter transceivers sequences estimator probabilities sequence based
Topic 15, method spectral efficient algorithm reed-solomon new results sequences computation fast via cyclic strategy random assignment further general errors signaling spreading
Topic 16, allocation joint resource maximum distributed likelihood ofdma cellular scheduling uplink spatial soft system downlink dynamic synchronization sequence number optimal multiplexing
Topic 17, ldpc based construction parity-check binary low-density code decoder distance new partial turbo encoding minimum quasi-cyclic sets response nonbinary irregular low
Topic 18, bounds probability bound applications random trellis-coded communications gaussian general echo upper exact sum distribution theory improved outage generalized variables some
Topic 19, control power schemes comparison approach indoor evaluation techniques communications analytical uwb access high-speed ultra-wideband cellular combining infrared strategies call radio
Topic 20, switching packet atm multicast time switch routing nonblocking parallel assignment switches wdm scheduling traffic architecture loss protocol input algorithms algorithm
Topic 21, quantization vector new application its noisy equalizers model multipath properties matched class filter analytical statistical use signal two-stage data sparse
Topic 22, rate turbo concatenated iterative convolutional complexity low variable high code trellis bit based information soft ldpc length data joint speech
Topic 23, algorithm image algorithms convolutional viterbi fast binary new block efficient scheme compression data novel quantization search convergence decoders technique transform
Topic 24, energy mobile communications sampling efficiency simulation selection system technique cellular importance antenna information efficient protocol erasure transmit generation crosstalk capacity
Topic 25, arq hybrid schemes scheme under protocols buffer traffic correlated bandwidth finite capacity delay sources evaluation bursty queue model generalized atm
Topic 26, packet network radio delay traffic multihop slotted aloha problem ring protocols models routing throughput time study capture message model optimal
