Topic, Top Terms
Topic 00, resource cellular scheduling ofdma downlink uplink heterogeneous user joint dynamic fair network cell frequency two-tier femtocell management lte system subcarrier
Topic 01, space-time codes block coding coded differential trellis orthogonal modulation code transmit linear quasi-orthogonal antennas correlated time space-frequency decoding unitary new
Topic 02, antenna multiple using antennas transmit selection adaptive ds-cdma schemes system spectral receive suppression efficiency arrays downlink beamforming methods comparison narrowband
Topic 03, selection information antenna feedback beamforming state transmit imperfect optimization partial under rate transmitter csi correlated joint amplify-and-forward robust knowledge receive
Topic 04, frequency carrier offset uplink joint selective domain equalization compensation ofdma synchronization iterative offsets single presence receiver phase i/q imbalance scheme
Topic 05, relaying network coding amplify-and-forward two-way relays decode-and-forward selection multiple communication cooperation transmission strategies multi-hop opportunistic dual-hop multihop multi-user achieving optimal
Topic 06, sensor energy efficiency data network coding bandwidth transmission impact efficient cooperation under decentralized random packet message optimal strategies energy-efficient transmissions
Topic 07, spatial tradeoff correlation multiplexing precoding beamforming mimo-ofdm csi effect precoder between diversity-multiplexing transmission multiple co-channel partial presence impact multi-antenna effects
Topic 08, ieee 802.11 mac protocol throughput hoc qos mesh delay multi-channel fairness lans multi-hop mechanism service wlans scheduling hybrid multi-rate modeling
Topic 09, feedback beamforming downlink multiuser limited adaptive multi-cell transmission multi-user broadcast scheduling rate joint ofdma precoding system multi-antenna miso maximization multicell
Topic 10, mobile authentication hoc secure forward protocol multi-hop protocols communications jamming key tree security rfid large-scale transmissions improving practical amplify communication
Topic 11, rate adaptation link arq adaptive data layer packet scheduling throughput optimization joint high using links communication multi-user communications hybrid approach
Topic 12, traffic scheme transmission resource packet admission cellular cdma optimal scheduling multimedia management call data network video downlink adaptive heterogeneous mobile
Topic 13, multiuser linear cdma cancellation system receivers precoding successive application communications parallel downlink multi-user optimal blind detector technique its transactions versus
Topic 14, energy sensor optimal protocol efficient routing hoc harvesting multi-hop energy-efficient mobile joint scheduling delay nodes optimization transmission underwater efficiency communication
Topic 15, complexity decoding iterative low turbo algorithm codes equalization coded decision space-time multiuser feedback using soft reduced low-complexity joint aided ldpc
Topic 16, capacity transmission broadcast user opportunistic optimal achievable scheduling spectrum multiple multiuser primary sharing relaying users schemes rates constraints scaling selective
Topic 17, efficient algorithm scheme novel selection algorithms generalized method receivers combining ofdm-based fast theory practical v-blast adaptive implementation architectures scheduling minimum
Topic 18, spectrum sensing dynamic sharing game radios approach using opportunistic joint under primary signal model noise via theoretic learning underlay user
Topic 19, communication cdma evaluation mobile communications capacity wideband area modeling distribution under local spread environments using range fast mobility doppler multicarrier
Topic 20, uwb communications synchronization multipath impulse ultra-wideband acquisition timing receiver receivers mitigation pulse multiple symbol gaussian improved maximum asynchronous transmitted band
Topic 21, error probability outage combining rate exact presence average bit using nakagami-m rayleigh closed-form selection ber relaying accurate nakagami approximation decode-and-forward
Topic 22, sensor sensing approach spectrum maximization opportunistic random cross-layer delay network framework collaborative aloha large routing slotted lifetime reception fusion limits
Topic 23, modulation using coding scheme coded adaptive code receiver error space binary schemes phase transmitter symbol rateless division time optimal codes
Topic 24, receiver adaptive space-time multiuser blind cdma single-carrier equalization receivers iterative time-varying multipath asynchronous transmission ds-cdma coded frequency-selective modulation block noncoherent
Topic 25, capacity rayleigh correlated asymptotic optimal bounds under bound snr ergodic ricean multiple statistics flat spatially adaptive information upper independent constraint
Topic 26, training codes optimal approach sequences pilot spreading sequence optimized designs complex factor from strategy mimo-ofdm orthogonal assignment matrix asymmetric peak
Topic 27, cellular cdma capacity system handoff base station soft uplink link using models algorithms umts effect improvement dynamic algorithm mobile antennas
Topic 28, indoor mobile model localization modeling sensor measurements using system environments algorithm location communication wideband novel satellite stochastic environment signals propagation
Topic 29, signals noise combining ratio model maximum reduction results method new signal phase application likelihood analytical evaluation gains generalized distributions binary
