Topic,Top Terms
Image Processing,interference downlink multiuser cancellation multicell joint subcarrier ds-cdma feedback suppression ds/cdma avoidance precoding successive ratio multistage linear reduction beamforming assignment
Bioinformatics-1,its application communications efficient time uwb signal arq data environments implementation hybrid applications impact range broadcasting characterization method improvement strategy
Image Processing-1,iterative decoding mimo-ofdm detector low-complexity algorithms interference delay coded mitigation codes learning new lte time-varying gaussian intercell turbo convolutional joint
Telecommunications,hybrid electric vehicles energy management fuel vehicle plug-in drive cell optimization efficiency modeling integrated parallel comparative battery driving voltage converter
Social Issues and Practice-3,antenna link beamforming array spatial noise effect algorithm technique transmit multiplexing errors reduction algorithms ber fast new distributed reverse interference
Image Processing-3,allocation resource dynamic scheduling distributed ofdma cross-layer assignment fair rate cognitive downlink throughput management multiuser qos framework strategies constraints heterogeneous
Social Issues and Practice-5,evaluation optimal battery model approach identification vehicle filter real-time location position cell kalman measurements methods improved sensors tracking localization practical
Telecommunications-1,vehicle electric vehicles applications automotive hybrid strategy motor active traction controller switched intelligent fault stability integration fault-tolerant road autonomous navigation
Telecommunications-2,propagation model modeling urban indoor environments measurements simulation ghz environment statistical measurement microcellular prediction stochastic wide-band models distributions two-dimensional delay
Social Issues and Practice-8,communication optimization differential area models information statistical modeling applications markov new pilot local sources architecture measurement comments experiments transmissions cells
Social Issues and Practice-9,sensor rate distribution tracking mobility user adaptation localization distributed nonlinear generalized scheduling function effects under filtering distortion joint density average
Image Processing-4,cognitive spectrum sensing access selective dynamic opportunistic multichannel sharing radios scheme users optimal medium ofdm-based cooperation primary collaborative via technique
Image Processing-5,frequency offset carrier spectral communication interference joint cochannel efficiency phase correlation presence multipath digital signal equalization mc-cdma noise compensation estimator
Image Processing-6,relay relaying selection amplify-and-forward coding network two-way outage opportunistic nakagami-m distributed modulation joint decode-and-forward probability dual-hop cognitive multihop throughput scheme
Social Issues and Practice-12,sensor scheme efficient protocol data vehicular multihop distributed hoc optimal mac routing qos energy-efficient support mobility broadcast scheduling transmission message
Social Issues and Practice-13,traffic data model transmission scheduling statistics packet under new analytical from delay voice video congestion integrated mechanism vehicular method accurate
Social Issues and Practice-14,coding transmission equalization network turbo robust signal low-complexity decision through via single-carrier space-time frequency-domain real-time feedback error frequency-selective monitoring block
Image Processing-7,capacity correlated feedback optimization multiuser techniques under joint spatially limited interference maximization planning schemes constraints multiantenna relay designs multiple-access allocation
Social Issues and Practice-16,algorithm handoff network admission efficient capacity management traffic services soft call wcdma hierarchical location assignment uplink modeling multimedia heterogeneous evaluation
Image Processing-8,multiuser ds-cdma error multipath space-time modulation communications probability receiver coded asynchronous nakagami broadband rate sequences rayleigh mmse spreading time-varying decision-feedback
Image Processing-9,method novel antenna antennas base prediction directional transmission mode environment smart path model station experimental stations downlink location validation placement
Image Processing-10,hoc communication routing approach vehicular vanets protocol cross-layer optimization personal multicast strategy joint study mesh authentication unified key secure effective
Social Issues and Practice-20,space-time codes orthogonal block linear via receiver robust noncoherent algorithm multiple satellite optimal modulation localization sequence variable relay short rates
Image Processing-11,combining code rayleigh selection optimum presence signals generalized acquisition correlation gain evaluation signaling schemes scheme orthogonal ratio effects distance interferers
Social Issues and Practice-22,signals blind uplink receiver receivers synchronization timing special section uwb editorial frequency-selective iterative fast mc-cdma mrc algorithm rake maximum-likelihood generalized
Social Issues and Practice-23,access communications multiple multicarrier packet schemes downlink comparison algorithms genetic architecture ultra-wideband two high-speed number user multiuser improvement capacity random
Image Processing-12,ieee 802.11 scheme mesh network mac protocol multichannel improving service hybrid lans safety enhanced enhancement satellite 802.16 wlans multicode leo
Social Issues and Practice-25,transmit antenna information imperfect selection rayleigh space-time positioning beamforming multiple codes arrays steering bounds relays precoding antennas rician state binary
