Topic, Top Terms
Topic 00, space-time codes block orthogonal transmission distributed relay coding modulation single-carrier linear error via broadband designs amplify-and-forward multicarrier schemes relaying trellis
Topic 01, ieee 802.11 scheme multihop algorithm protocol throughput efficient mechanism mac modeling enhanced wlans distributed fairness handover lans wimax 802.16 through
Topic 02, antenna array beamforming antennas smart arrays method communication algorithm robust communications noise receiver novel phase digital bluetooth environment wideband virtual
Topic 03, hoc vehicular sensor scheme protocol routing communication network data efficient mobility distributed management mac multicast location secure vanets authentication cross-layer
Topic 04, frequency offset carrier timing blind joint presence synchronization fast noise selective algorithm equalization uplink errors signal phase symbol ofdma communication
Topic 05, iterative modulation decoding turbo space-time coded differential multiuser feedback codes receiver low-complexity coding joint decision interference equalization equalizer detector mimo-ofdm
Topic 06, efficient reduction nonlinear strategy special editorial via signal ratio method algorithm signals technique distortion information amplifier novel effects ultra-wideband simple
Topic 07, interference cancellation new scheme mitigation suppression multipath cochannel lte uplink multistage parallel asynchronous successive time-varying low-complexity downlink considering ds-cdma mimo-ofdm
Topic 08, model propagation modeling urban indoor environments statistical measurement prediction simulation models environment characterization ghz antenna stochastic measurements effects markov path
Topic 09, distribution base station model statistics random optimal unified new stations shadowing distributions lognormal correlation placement functions sensors multiple its local
Topic 10, efficiency uwb application spectral its energy spatial correlation impact signals applications nodes multiple data coded antennas communication between multihop construction
Topic 11, hybrid electric vehicles vehicle battery fuel cell energy management plug-in model modeling experimental novel simulation analytical driving voltage batteries converter
Topic 12, code acquisition ds-cdma correlated new robust noncoherent receiver signals spreading reception effect downlink orthogonal comments ber spread-spectrum uwb impulse sequences
Topic 13, transmit antenna selection multiuser feedback precoding capacity rayleigh downlink spatial beamforming correlated information linear limited imperfect space-time impact transmission multiplexing
Topic 14, optimization approach techniques linear network heterogeneous planning fast search message interference load cooperation algorithm reduced-rank next-generation selection programming algorithms joint
Topic 15, sensor location localization tracking distributed measurements environments data positioning algorithm algorithms study filter approach nlos kalman broadcasting position filtering fusion
Topic 16, admission traffic data multimedia services qos scheduling packet downlink scheme call transmission assignment handoff access capacity soft integrated wcdma management
Topic 17, multiuser blind receivers equalization multipath receiver ds-cdma detector space-time frequency-selective multicarrier mc-cdma uplink signals communications joint pilot complexity time-varying maximum-likelihood
Topic 18, scheduling throughput network joint protocol multichannel routing multiuser mesh algorithms user hybrid arq coding opportunistic capacity optimization maximization collision downlink
Topic 19, allocation resource dynamic cognitive distributed ofdma assignment multiuser constraints downlink relay optimal cross-layer algorithm network scheduling multicell interference maximization rate
Topic 20, combining rayleigh error nakagami probability rate generalized correlated mrc optimum selection ber rician communications qam average presence exact maximum cochannel
Topic 21, relay relaying selection amplify-and-forward two-way network coding outage transmission joint multihop beamforming probability opportunistic information dual-hop capacity partial nakagami imperfect
Topic 22, schemes transmission scheduling optimal delay hybrid scheme arq energy-efficient rate packet digital feedback adaptation code sensor improving delay-tolerant deployment class
Topic 23, vehicle road vehicles controller fuzzy video method steering traffic avoidance application robust autonomous model algorithms lateral learning real-time automatic stability
Topic 24, spectrum cognitive sensing access dynamic multiple sharing radios users gain medium via opportunistic collaborative multiple-access multicarrier multichannel secondary blind hybrid
Topic 25, traffic under evaluation link time handoff model capacity modeling effect reverse heterogeneous network coverage soft cell strategies forwarding accurate distribution
Topic 26, communications satellite communication applications delay capacity technique evaluation efficient ofdm-based digital scenarios transmission optical leo probability packet vehicular implementation real-time
Topic 27, electric hybrid vehicles vehicle applications motor drive energy automotive management active strategy optimization fault fault-tolerant switched torque traction suspension parallel
