Topic,Top Terms
Image Processing,traffic multimedia rfid fair systems code placement wideband tree cdma temporal protocols wcdma schemes umts authentication area guaranteed strategies large-scale
Social Issues and Practice-1,systems service robust control quality bandwidth 802.16 communication broadband ofdm-based rate uplink enhanced packet qos carrier embedded local stations multilevel
Telecommunications,random model distribution via mobility node route comparison waypoint latency without computation connectivity sensors use verification integrity stochastic vehicular achieving
Image Processing-2,cognitive protocols capacity manets information delay-tolerant maximizing mesh social multiuser discovery decentralized rendezvous diversity lte on-demand tree-based flow energy-aware frequency
Social Issues and Practice-2,mobility estimation based large-scale probabilistic authentication maps group cache estimating architecture uwb retrieval target reactive patterns connectivity local fairness end-to-end
Image Processing-3,packet improving modeling tcp collection downlink bandwidth over services understanding applications qos-aware differentiated high-speed propagation speed qos cellular multicasting fairness
Image Processing-4,control optimal admission cellular dissemination integrated cdma distance techniques cell wlan call hop noncooperative games new mechanism over hybrid vehicular
Social Issues and Practice-5,coverage sensing collaborative construction tracking target between area energy-efficient localized context dynamic content transmission low exploiting information overhead correlation clustering
Image Processing-5,detection relay node 802.11 problem attacks dcf selfish behavior replica fault-tolerant carrier greedy effect its sensing relaying approximation placement asymptotic
Social Issues and Practice-7,mesh multichannel hybrid delay throughput channel interference joint multiradio assignment coding optimization minimum maximization via 802.11n optimized multiantenna general models
Image Processing-6,energy communication devices system cost lifetime security constrained efficiency consumption minimum constraint group clustering wlan latency optimized vehicular reducing reliable
Image Processing-7,resource systems optimal scheme handoff cdma qos ofdma statistical joint cellular contention user queuing pervasive multiservice supporting communications predictive guaranteed
Telecommunications-1,mac protocols link layer support qos study tcp traffic multimedia 802.11 novel large antennas throughput guarantee security analytical uwb integrated
Social Issues and Practice-11,heterogeneous multiple sharing deployment enabling peer-to-peer resource mesh devices nodes communications support effective user overlay environments dynamics strategies sensors voip
Social Issues and Practice-12,channel from computing key measurements shared generation algorithm extraction context-aware based end-to-end without patterns automatic transactions model local game-theoretic collision
Image Processing-9,forwarding opportunistic secure under geographic mobility hybrid service manets pattern learning personal model user replication capacity strategy contact discovery uniform
Machine Learning-8,algorithm nodes fast models impact interference measurement wimax handover improved correlated internet awareness motion accuracy connected human location-based tags search
Social Issues and Practice-14,cross-layer framework adaptation rate toward through 802.11 system infrastructure wlans sparse quality services lifetime multirate energy robust embedded measurements analytical
Social Issues and Practice-15,localization applications real-time broadcasting spatial underwater exploiting prediction multicasting movement multiuser aggregation reuse mobility beacon terminal cellular lightweight hidden acoustic
Social Issues and Practice-16,optimization control topology virtual medium energy-efficient links error lans modeling backbone number csma connected directional limited accuracy local comment exploiting
Image Processing-10,power cognitive selection control channel users cooperation reducing directional wi-fi primary protection common transmission comment path constraints content-based cell stochastic
Image Processing-11,cooperative dynamic scheme optimal cognitive strategies constraints under environment multichannel implementation transmission computing fading asynchronous energy-efficient uplink scaling delivery caching
Image Processing-12,broadcast monitoring scalable online method detection environments application queries passive continuous energy-efficient wifi misbehavior its beamforming bluetooth synchronization spatial pervasive
Social Issues and Practice-19,over video streaming channels scalable transmission media diversity vector fading mimo services progressive asymptotic enhanced embedded path reliable hybrid on-demand
Image Processing-13,multicast power throughput lans 802.11 saving reception 802.11e multipacket cache bluetooth study points modeling mesh services mechanism under coding predictive
Telecommunications-2,algorithms tracking positioning indoor environments nlos supporting geometry low-power methods web local disconnected approximation link broadcast tree gathering switching security
Image Processing-14,dynamic time cellular bandwidth balancing complexity in-network load paging localization versus update theory source assignment based processing hierarchical algorithm switching
Telecommunications-3,editorial from eic new message guest special papers editor-in-chief outstanding introduction transactions state mobility vehicular stochastic gathering pcs authentication local
Image Processing-15,evaluation framework schemes delivery signal autonomous indoor packet strength uncertainty strategies general game voip compressive processing reliable selection calibration multipath
Telecommunications-4,environments wlans query processing location-based novel identification multirate evaluating stations support guarantees flexible range 802.11e optimizing interaction connectivity critical reliability
