Topic, Top Terms
Topic 00, spatial transaction probabilistic applications implementation scheduling join structured optimal method computation problem path skyline managing virtual its through model solving
Topic 01, streams over xml tree top-k multiple matching approximate pattern continuous partial optimizing design documents incremental querying string online hash answers
Topic 02, feature selection study linear case load maximum measures robust weighted minimum comparative text combining problem balancing different via representations partition
Topic 03, reduction learning dimensionality kernel privacy-preserving estimation graph large-scale hierarchical regression strategies semisupervised dimension discriminant visualization semi-supervised constrained nonlinear evolutionary automata
Topic 04, support learning rule vector text statistical classification induction constraints without machine bayes hybrid active examples inductive conditional rules hidden discriminative
Topic 05, editorial trees new transactions decision eic engineering introducing board tkde missing tracking approximation changes ieee editor-in-chief associate cost-sensitive values two
Topic 06, rules association learning multiple domains via graph-based active ranking ontologies classification methodology generation domain models transfer expression across gene structured
Topic 07, web model structure services semantic probabilistic framework documents retrieval internet building survey semantics personalized file toward improving unified record xml
Topic 08, management secure service framework multilevel quality constraints qualitative evolving user events transactions process models resource quantitative logs behavior theory architecture
Topic 09, optimization parallel object-oriented join view generalized evaluation index deductive state production views integrating management problems techniques recursive programs discrete version
Topic 10, language neural problem recommendation rule-based artificial intelligence active understanding natural improving dynamic bloom allocation searching diversity optimizing ensembles filter network
Topic 11, model document multimedia video semantic uncertain inference detection content visual querying automatic features indexing collaborative perspective summarization association objects word
Topic 12, patterns discovery frequent discovering social closed sequential sets maximal pattern sequences causal model accurate trees itemsets item general event sequence
Topic 13, modeling computation multidimensional joins conceptual computing design between relations operations objects cloud relationships topic projective cubes collaborative p2p aggregate results
Topic 14, retrieval image content-based effective user indexing filtering ranking images spatial structure graph programming navigation feedback properties learning scheme relevance genetic
Topic 15, detection framework fast high-dimensional approximate subspace online finding decomposition generalization local large-scale via computing activity categorical sampling distance programming trajectories
Topic 16, text reasoning logic design categorization new practical signature measure applications automated semantics acquisition functional complexity scheme deductive keyword into optimal
Topic 17, classification set selection sql feature attribute unsupervised discretization decision learning tree rough correlation preserving extending privacy toward extraction technique high-dimensional
Topic 18, mobile wireless sensor objects continuous environments moving broadcast aggregation monitoring range over skyline allocation computing index uncertain environment location-based approaches
Topic 19, control access concurrency real-time architecture model web update performance locking world policies semantic object-oriented methods link protocols towards schema semantics
Topic 20, time series pattern framework sequence prediction join method stream streaming discovery multiprocessor effective integrated commerce outliers spaces over preprocessing complex
Topic 21, large graphs nearest neighbor uncertain indexing sets metric reverse cluster hashing space spaces compression fast probabilistic very high-dimensional testing group
Topic 22, evaluation adaptive performance incremental design scalable storage cooperative integrity schemes access constraints digital maintenance under cache consistency delivery streaming implementation
Topic 23, network dynamic peer-to-peer heterogeneous models scalable bases supporting sharing large global hybrid partitioning caching privacy environment trust sources dependency constructing
Topic 24, knowledge-based software object real-time planning scheme security engineering hierarchical multimedia environment assignment correction interactive integrating case-based development capacity specification estimating
Topic 25, fuzzy logic expert reasoning rule sets representation petri their inference model random use nets forms logical rough net clusters models
Topic 26, introduction guest editors special section engineering representation management international conference issue editorial multimedia keyword boosting technology web self-organizing foreword searching
Topic 27, learning survey performance classification techniques memory concept detection ensemble methods dbms novel models streams handling classifier evaluation class approaches main
Topic 28, web automatic semantic extraction rule-based ontology its application method structural integration electronic toward entity identification matching reasoning mapping representing resolution
