Topic,Top Terms
Telecommunications,arithmetic floating-point variables precision software testing square computation plotting multiple-precision contour three variable certification tool surfaces ieee rounded basic extended
Image Processing,software general partial polynomials collocation over [d3]. domains basis triangular two-dimensional hermite rectangular object-oriented bicubic flow compiler cubature boundary-value collection
Telecommunications-1,generating quadrature interval point two orthogonal constraints regression problem location weighted classes based software distance weight double rules precision interpolatory
Telecommunications-2,performance programs interface some evaluation matrix fast related exploiting multiplication high-performance high user implementations elementary sparse errors multiprecision graph scientific
Telecommunications-3,polynomial routines discrete accuracy that computational has interpolation performance distributions homotopy efficiency linearly finding sequences product special approximations bicubic case
Telecommunications-4,analysis software sparse study programming matrices generalized system rational estimating models semidefinite jacobian case schur functional subroutines full forms roundoff
Telecommunications-5,test algebra blas basic subprograms model set standard level programs extended high-performance overview special processors use corrigenda sturm-liouville implementations errors
Telecommunications-6,matrix framework [z]. sparse part computations calculation recursive ``algorithm dense triangular convex memory blocked new note roundoff sets distributed application
Telecommunications-7,exact incomplete unconstrained gamma environment constrained vector testing gradient note [e4]. minimization parameters its [s14]. subroutines approach revisited complete computers
Image Processing-5,factorization block cholesky sparse partial storage elimination multifrontal diagonal pivoting almost out-of-core certain gaussian [f4]. column packages modified row level-3
Telecommunications-8,matrices sparse symmetric large direct solver real dense unsymmetric iteration class eigenvalues simultaneous [f2]. parabolic rank-revealing factorizations time scalable approximations
Bioinformatics-8,applications estimation real matrix comparison eigenvalues hessenberg condition calculating subroutines numbers part solvers estimating [f2]. ordering codes elliptic related library
Telecommunications-9,random fast transform generator generation number laplace corrigendum from library fourier generators normal distributions software scalable pseudorandom transforms sampling implementing
Image Processing-7,least squares usage algebra basic subprograms 539 translation processor iterative solutions modified refinement [f4]. weighted minimization truncated newton computations transformations
Telecommunications-10,automatic program integral equation kind differentiation second [h]. helmholtz problem three-dimensional partitioning regions cubature structure programs planar sylvester triangle approach
Telecommunications-11,library portable bessel exponential subroutine argument modified order integrals positive ``algorithm 644 nonnegative [s14]. arguments object-oriented arbitrary cdc multiple-precision logarithm
Telecommunications-12,numerical stiff evaluation inversion solvers ordinary odes derivatives multistep formulas arbitrary new characteristic some computers partitioning preconditioners bifurcation exponential distribution
Image Processing-10,computation numerical system object-oriented banded normal solver matrix form complexity two-dimensional differentiation distribution hypergeometric scientific multivariate logarithm cubature boundary-value over
Telecommunications-13,surface interpolation points fitting smooth procedures ``algorithm distributed bivariate program spline irregularly [e1]. quintic certification sphere [j6]. fixed delaunay interactive
Telecommunications-14,problem eigenvalue generalized solve inverse program matrices zeros approximation their computational [f2]. values airy simultaneous bisection symmetric assignment clustering chebyshev
Telecommunications-15,value equation integer initial subroutine numerical two tree solvers improved computation runge-kutta ordinary order solutions space orders nonstiff state decomposition
Information Retrieval-18,programming mathematical integration large-scale quadratic integrals test adaptive network system simplex sequential routine constrained architectures multiple time use definite parabolic
Image Processing-12,reduction software matrix form codes accurate tridiagonal profile hybrid factorizations general scalar globally suite bisection band homotopy adams rank-revealing sylvester
Telecommunications-16,interpolation multivariate series scattered shepard tension spline cubic bivariate sets quadratic hierarchical large modified approximations chebyshev taylor finding zero grid
Social Issues and Practice-17,element finite curve fitting local based piecewise adaptive [e2]. manipulation symbolic generic cubic via structures polynomial new grid least-squares automatic
Telecommunications-17,subroutines approximate solutions set grasp compute quadratic assignment maximum algebraic mathieu dense special sparse cdc finding graph scaling updating fixed
Bioinformatics-17,error adaptive software global runge-kutta elliptic control techniques quadrature explicit bounds pdes tests solver selection interpolants generation high-order robust pairs
Software Engineering-15,computer acm tensor policy degree decomposition minimum corrigenda approximate ordering multiple products manipulation column [f1]. singular packages distribution spectral interpolatory
Image Processing-15,code sparse design symmetric from optimal indefinite iterative new definite mixed finite-element unsymmetric computational approximation hierarchical sturm-liouville overview zeros preconditioners
